Site,Date,Block,Treatment,Time,Weather,Video,Frames,nspectra,nchannels,scene_height,scene_width,scene_channels,timestamp_s,timestamp_us,frame_rate,exposure,gain,scene_exposure,scene_gain,camera_serial_id,edge_compute_serial_id,sdk_version,calibration,scene_dtype,spectra_dtype,description
Wytham,2024/06/25,A,DIST,13:16:21,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3145,182198,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:16:22,Sunny / warm - some cloud later in session,Video,32,4384,96,2048,2432,3,3147,182394,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:16:55,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3179,185540,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:16:56,Sunny / warm - some cloud later in session,Video,45,4384,96,2048,2432,3,3181,185737,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:20:38,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3402,707455,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:20:39,Sunny / warm - some cloud later in session,Video,22,4384,96,2048,2432,3,3404,207602,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:20:59,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3423,209463,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:21:00,Sunny / warm - some cloud later in session,Video,34,4384,96,2048,2432,3,3425,209659,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:22:44,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3528,719825,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:22:46,Sunny / warm - some cloud later in session,Video,31,4384,96,2048,2432,3,3530,720022,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:24:35,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3639,730749,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:24:37,Sunny / warm - some cloud later in session,Video,18,4384,96,2048,2432,3,3641,730946,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:24:47,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3651,231883,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:24:57,Sunny / warm - some cloud later in session,Video,40,4384,96,2048,2432,3,3661,732918,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:04:04,Sunny / warm,Single,1,4384,96,2048,2432,3,1941,2378,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:04:07,Sunny / warm,Video,26,4384,96,2048,2432,3,1944,502724,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
